DateTime,Entries,UniqueIPs
1534118568,1048,1149
1534125768,1048,1149
1534129368,1050,1151
1534132973,1046,1147
1534136568,1047,1148
1534140169,1045,1146
1534143773,1047,1148
1534147368,1045,1146
1534150973,1047,1148
1534154631,1046,1147
1534161771,1045,1146
1534165372,1046,1147
1534168969,1046,1147
1534172572,1047,1148
1534176169,1045,1146
1534179769,1046,1147
1534183369,1047,1148
1534186969,1046,1147
1534187268,1048,1149
1534190629,1047,1148
1534194171,1049,1150
1534197769,1047,1148
1534204969,1046,1147
1534208573,1045,1146
1534212229,1044,1145
1534215769,1040,1141
1534219373,1042,1143
1534223029,1041,1142
1534226570,1041,1142
1534230229,1039,1140
1534233769,1040,1141
1534237370,1039,1140
1534240969,1043,1144
1534244569,1043,1144
1534248169,1040,1141
1534255431,1039,1140
1534258969,1039,1140
1534266169,1036,1137
1534269773,1035,1136
1534276969,1035,1136
1534280629,1033,1134
1534287831,1033,1134
1534298570,1033,1134
1534302171,1035,1136
1534305770,1032,1133
1534309430,1033,1134
1534312972,1030,1132
1534316573,1033,1135
1534320231,1031,1132
1534323771,1033,1134
1534327371,1032,1133
1534330970,1034,1135
1534338170,1035,1136
1534341774,1036,1134
1534345370,1039,1137
1534346420,1040,1138
1534348940,1039,1140
1534352540,1040,1141
1534356200,1041,1142
1534359802,1042,1143
1534363400,1041,1142
1534367003,1043,1144
1534368019,1043,1144
1534374201,1043,1144
1534381399,1040,1141
1534385001,1041,1142
1534388601,1043,1144
1534392201,1042,1143
1534395740,1043,1144
1534399340,1037,1138
1534402940,1038,1140
1534406542,1037,1139
1534410201,1040,1142
1534413740,1035,1137
1534421000,1036,1136
1534424544,1033,1133
1534431800,1029,1127
1534435342,1030,1128
1534439000,1031,1129
1534442542,1033,1131
1534446140,1033,1131
1534449803,1034,1132
1534453341,1035,1133
1534457001,1036,1134
1534467802,1033,1131
1534471342,1033,1131
1534474940,1032,1130
1534482141,1032,1130
1534485741,1035,1133
1534489341,1035,1133
1534493001,1036,1134
1534496601,1037,1135
1534500141,1039,1138
1534503865,1038,1137
1534507401,1039,1138
1534511001,1037,1136
1534514602,1039,1138
1534518202,1038,1137
1534525345,1036,1135
1534532605,1033,1132
1534536207,1034,1133
1534539745,1033,1132
1534542681,1034,1133
1534547001,1029,1128
1534554141,1030,1129
1534557742,1025,1124
1534561402,1022,1121
1534565002,1023,1122
1534572142,1024,1123
1534575802,1022,1121
1534579402,1020,1119
1534583002,1021,1120
1534590203,1019,1118
1534593802,1020,1119
1534597346,1022,1121
1534600943,1023,1122
1534604542,1024,1123
1534608142,1021,1120
1534611802,1025,1124
1534615402,1026,1125
1534617742,1027,1126
1534622602,1028,1127
1534626145,1025,1124
1534629806,1027,1126
1534633343,1024,1123
1534637002,1025,1124
1534640602,1026,1125
1534644143,1026,1125
1534647808,1025,1124
1534651402,1024,1123
1534654943,1024,1123
1534658602,1026,1125
1534662203,1025,1124
1534665803,1026,1125
1534669403,1028,1127
1534676603,1026,1125
1534680203,1024,1123
1534687343,1023,1122
1534690944,1023,1123
1534694606,1023,1123
1534698204,1025,1125
1534701743,1027,1127
1534705343,1027,1127
1534708944,1029,1129
1534716148,1030,1130
1534719805,1029,1129
1534727003,1028,1128
1534730545,1031,1131
1534734149,1030,1130
1534737745,1033,1133
1534741405,1035,1135
1534745004,1036,1136
1534748548,1037,1137
1534752147,1036,1136
1534755804,1036,1136
1534759406,1037,1137
1534762163,1037,1137
1534763003,1035,1135
1534766543,1033,1133
1534770203,1034,1134
1534773802,1034,1134
1534777402,1035,1135
1534781003,1034,1134
1534784592,1036,1136
1534788192,1034,1134
1534791796,1035,1135
1534795415,1034,1134
1534798992,1036,1136
1534806132,1035,1135
1534809792,1035,1134
1534813332,1035,1134
1534816933,1037,1136
1534820592,1038,1137
1534824196,1039,1138
1534827792,1043,1142
1534831392,1037,1136
1534833612,1040,1139
1534838592,1040,1139
1534845792,1034,1133
1534849396,1038,1137
1534856593,1038,1137
1534860193,1040,1139
1534867393,1041,1140
1534870997,1044,1143
1534874538,1043,1142
1534878196,1048,1147
1534881737,1046,1145
1534885393,1047,1146
1534888993,1045,1144
1534892593,1045,1144
1534896193,1048,1147
1534899797,1048,1147
1534903393,1050,1149
1534906937,1044,1143
1534910596,1047,1146
1534914196,1042,1141
1534917735,1043,1142
1534921333,1044,1143
1534924936,1045,1144
1534928597,1040,1139
1534929793,1041,1141
1534939393,1042,1142
1534942995,1042,1142
1534946534,1044,1144
1534950194,1044,1144
1534953734,1047,1147
1534957394,1047,1147
1534964534,1048,1148
1534968194,1049,1149
1534971794,1048,1148
1534974192,1049,1149
1534975332,1049,1147
1534978991,1051,1149
1534982591,1051,1149
1534989791,1051,1149
1534993391,1048,1146
1534996991,1049,1147
1535000711,1049,1146
1535004191,1051,1148
1535007795,1051,1148
1535011331,1052,1149
1535014995,1050,1147
1535018591,1052,1149
1535022192,1047,1142
1535025732,1048,1143
1535029394,1048,1143
1535032933,1049,1144
1535036592,1048,1143
1535040192,1046,1141
1535043792,1047,1142
1535047392,1049,1144
1535050992,1050,1145
1535054595,1049,1144
1535058134,1050,1145
1535061792,1048,1143
1535068993,1048,1143
1535072596,1049,1144
1535076195,1048,1143
1535079792,1048,1143
1535083395,1048,1143
1535086938,1046,1141
1535090595,1037,1132
1535094195,1039,1134
1535097797,1037,1132
1535104332,1036,1131
1535104994,1034,1129
1535108593,1037,1132
1535112134,1039,1134
1535115793,1041,1136
1535119393,1043,1138
1535130196,1045,1141
1535133793,1044,1140
1535137393,1046,1142
1535140997,1045,1141
1535144594,1046,1142
1535148194,1047,1143
1535151794,1047,1143
1535155335,1047,1143
1535162534,1045,1141
1535166195,1041,1139
1535169793,1045,1143
1535173394,1046,1144
1535176996,1047,1145
1535180595,1047,1145
1535184137,1048,1146
1535187794,1041,1139
1535191398,1044,1142
1535194994,1044,1142
1535202137,1045,1142
1535209394,1045,1142
1535214014,1043,1140
1535220194,1044,1141
1535223794,1044,1141
1535227394,1044,1141
1535234594,1042,1139
1535238194,1043,1140
1535241797,1041,1138
1535245395,1042,1139
1535248934,1043,1140
1535252594,1045,1142
1535256194,1046,1143
1535259795,1048,1145
1535263394,1050,1147
1535270536,1050,1147
1535274194,1050,1147
1535277794,1050,1147
1535281396,1053,1150
1535292196,1051,1148
1535293875,1048,1145
1535299336,1047,1144
1535302995,1047,1144
1535306595,1049,1147
1535313795,1047,1145
1535317396,1050,1148
1535320935,1050,1148
1535324595,1051,1149
1535328138,1050,1148
1535335336,1045,1143
1535338995,1047,1145
1535342596,1047,1145
1535346198,1051,1149
1535349795,1050,1148
1535353395,1049,1147
1535356935,1051,1149
1535360539,1052,1150
1535364137,1058,1156
1535367795,1059,1157
1535371399,1057,1155
1535374937,1060,1158
1535378595,1061,1159
1535382197,1063,1161
1535385735,1062,1160
1535389396,1065,1163
1535392998,1064,1162
1535396596,1066,1164
1535400136,1076,1178
1535403796,1075,1177
1535410936,1076,1178
1535414596,1077,1179
1535418196,1078,1180
1535421737,1076,1178
1535425396,1081,1183
1535428997,1080,1182
1535432536,1078,1180
1535436196,1075,1176
1535439796,1075,1176
1535443398,1077,1178
1535446997,1078,1179
1535450536,1076,1177
1535454139,1073,1174
1535457740,1074,1175
1535461396,1075,1176
1535464996,1072,1173
1535468596,1074,1175
1535472137,1077,1178
1535475797,1076,1177
1535479337,1075,1176
1535482999,1076,1177
1535486599,1075,1176
1535493797,1075,1176
1535497337,1072,1173
1535504597,1070,1171
1535508199,1069,1170
1535511738,1071,1172
1535515338,1070,1171
1535518998,1074,1175
1535522598,1073,1174
1535529798,1072,1173
1535536997,1071,1172
1535540537,1072,1173
1535544197,1074,1175
1535547197,1076,1177
1535551338,1076,1177
1535554999,1076,1177
1535558598,1077,1178
1535562197,1078,1179
1535565798,1078,1179
1535572998,1080,1181
1535576542,1083,1184
1535580142,1082,1183
1535583798,1084,1185
1535587399,1086,1187
1535594599,1084,1185
1535598199,1083,1184
1535601738,1085,1186
1535605401,1081,1182
1535608998,1081,1182
1535612598,1083,1184
1535616138,1082,1183
1535619858,1080,1181
1535623338,1079,1180
1535628378,1081,1182
1535630599,1081,1182
1535634198,1086,1187
1535637738,1081,1182
1535641403,1082,1183
1535648598,1082,1183
1535652140,1079,1180
1535659399,1078,1179
1535663061,1080,1181
1535666602,1077,1178
1535670142,1080,1181
1535673802,1078,1179
1535677340,1075,1176
1535680999,1079,1180
