DateTime,AddedIPs,RemovedIPs
1534266169,1,3
1534269773,2,4
1534273373,1,1
1534276969,2,3
1534280629,3,0
1534284170,0,2
1534287831,2,1
1534298570,3,1
1534302171,3,9
1534305770,4,1
1534309430,1,3
1534312972,3,5
1534316573,4,0
1534320231,2,5
1534323771,5,2
1534327371,4,6
1534330970,2,1
1534338170,4,0
1534341774,1,1
1534345370,5,5
1534346420,3,0
1534348940,13,0
1534352540,2,1
1534356200,2,0
1534359802,3,0
1534363400,2,1
1534367003,2,0
1534368019,1,4
1534374201,2,3
1534381399,1,1
1534385001,2,4
1534388601,2,2
1534392201,2,3
1534395740,2,3
1534399340,1,1
1534402940,2,2
1534406542,1,1
1534410201,4,3
1534413740,0,1
1534417341,0,3
1534421000,5,7
1534424544,1,3
1534428202,1,0
1534431800,1,2
1534435342,1,5
1534439000,1,2
1534442542,2,3
1534446140,3,1
1534449803,4,3
1534453341,1,0
1534457001,2,2
1534467802,1,1
1534471342,3,3
1534474940,2,1
1534478541,0,2
1534482141,2,4
1534485741,5,3
1534489341,3,6
1534493001,1,3
1534496601,2,1
1534500141,3,3
1534503865,3,2
1534507401,1,0
1534514602,2,1
1534518202,2,0
1534521801,1,0
1534528946,2,2
1534532605,3,2
1534536207,1,0
1534539745,2,2
1534542681,1,1
1534547001,0,1
1534550602,0,1
1534554141,1,1
1534557742,1,2
1534561402,0,1
1534565002,3,4
1534568602,0,1
1534572142,4,4
1534579402,0,1
1534583002,2,2
1534586602,0,5
1534590203,1,0
1534593802,1,2
1534597346,2,0
1534600943,2,1
1534604542,3,1
1534608142,0,2
1534611802,4,3
1534615402,1,1
1534617742,1,1
1534622602,1,0
1534626145,3,1
1534629806,2,1
1534633343,1,1
1534637002,1,1
1534640602,1,3
1534644143,2,2
1534647808,0,1
1534651402,2,2
1534654943,3,2
1534658602,3,2
1534665803,1,1
1534669403,2,2
1534672943,1,1
1534676603,0,1
1534680203,1,2
1534687343,2,2
1534690944,4,3
1534694606,1,1
1534698204,2,0
1534701743,3,3
1534705343,2,1
1534708944,2,2
1534712603,0,1
1534716148,1,1
1534719805,0,2
1534723345,1,1
1534727003,1,0
1534730545,3,4
1534734149,4,4
1534737745,3,1
1534741405,3,2
1534745004,2,3
1534748548,3,2
1534752147,1,1
1534755804,3,1
1534759406,1,2
1534762163,1,1
1534763003,6,2
1534766543,2,0
1534770203,2,2
1534773802,2,0
1534777402,1,0
1534781003,2,2
1534784592,3,0
1534788192,1,1
1534791796,3,0
1534795415,1,0
1534798992,5,1
1534802532,1,2
1534806132,1,0
1534813332,1,2
1534816933,2,1
1534820592,3,6
1534824196,3,7
1534827792,6,3
1534831392,0,1
1534833612,3,5
1534834992,0,1
1534838592,1,0
1534842192,1,1
1534845792,1,4
1534849396,5,7
1534852932,0,3
1534856593,3,2
1534860193,3,2
1534863793,0,9
1534867393,2,3
1534870997,3,2
1534874538,1,1
1534878196,8,6
1534881737,1,1
1534885393,2,2
1534892593,1,3
1534896193,3,5
1534899797,1,2
1534903393,2,2
1534906937,2,3
1534910596,3,5
1534914196,0,2
1534917735,1,2
1534921333,2,2
1534924936,1,1
1534928597,2,3
1534929793,2,2
1534932193,0,2
1534939393,1,0
1534942995,2,0
1534946534,3,3
1534950194,4,4
1534953734,3,0
1534957394,3,0
1534960994,0,2
1534964534,3,2
1534968194,2,0
1534971794,1,1
1534974192,1,0
1534975332,9,0
1534978991,4,2
1534982591,1,0
1534989791,3,4
1534993391,1,4
1534996991,1,2
1535000711,3,6
1535004191,4,2
1535007795,2,0
1535011331,2,1
1535014995,4,2
1535018591,2,3
1535022192,3,1
1535025732,1,2
1535029394,2,2
1535032933,2,6
1535036592,1,3
1535040192,2,3
1535043792,2,4
1535047392,6,1
1535050992,1,3
1535054595,0,1
1535058134,2,1
1535061792,5,0
1535065392,1,4
1535068993,1,2
1535072596,2,1
1535076195,2,5
1535079792,1,1
1535083395,3,3
1535086938,2,2
1535090595,0,1
1535094195,2,2
1535097797,2,3
1535101397,0,2
1535104332,1,1
1535104994,0,2
1535108593,3,5
1535112134,2,2
1535115793,2,1
1535119393,2,2
1535122993,1,1
1535126594,1,1
1535130196,3,4
1535133793,2,1
1535137393,3,1
1535140997,1,3
1535144594,1,2
1535148194,3,1
1535151794,1,0
1535155335,1,1
1535158998,0,3
1535162534,1,3
1535166195,2,2
1535169793,5,3
1535173394,5,3
1535176996,1,2
1535180595,2,2
1535184137,2,2
1535187794,0,3
1535191398,3,5
1535194994,3,0
1535202137,1,1
1535205794,0,1
1535209394,1,2
1535214014,1,1
1535220194,2,1
1535223794,1,5
1535227394,1,0
1535238194,2,2
1535241797,1,2
1535245395,1,1
1535248934,2,3
1535252594,3,2
1535256194,3,5
1535259795,5,3
1535263394,6,3
1535266994,0,1
1535270536,1,1
1535274194,1,2
1535277794,1,1
1535281396,4,2
1535288596,0,2
1535292196,1,0
1535293875,0,2
1535299336,1,1
1535302995,2,7
1535306595,3,2
1535310195,1,0
1535313795,2,0
1535317396,3,2
1535320935,2,1
1535324595,1,3
1535328138,0,1
1535335336,3,1
1535338995,3,3
1535342596,4,4
1535346198,5,5
1535349795,2,1
1535353395,1,1
1535356935,5,0
1535360539,2,2
1535364137,9,3
1535367795,3,2
1535371399,1,2
1535374937,5,3
1535378595,1,2
1535382197,2,4
1535385735,3,0
1535389396,3,5
1535392998,1,2
1535396596,2,2
1535400136,15,14
1535403796,1,1
1535410936,1,0
1535414596,1,1
1535418196,3,2
1535421737,3,3
1535425396,5,7
1535428997,4,4
1535432536,2,2
1535436196,1,0
1535439796,1,2
1535443398,3,3
1535446997,2,2
1535450536,0,2
1535454139,3,2
1535457740,2,7
1535461396,3,7
1535464996,0,2
1535468596,3,1
1535472137,3,3
1535475797,0,2
1535479337,4,4
1535482999,1,3
1535486599,2,4
1535490197,0,1
1535493797,3,0
1535497337,1,2
1535504597,0,3
1535508199,3,5
1535511738,2,2
1535515338,4,5
1535518998,5,3
1535522598,2,3
1535526198,0,2
1535529798,3,2
1535533398,0,2
1535536997,1,1
1535540537,13,0
1535544197,2,4
1535547197,3,0
1535547800,0,1
1535551338,2,1
1535554999,2,4
1535558598,1,1
1535562197,2,4
1535565798,1,2
1535569398,0,1
1535572998,2,1
1535576542,4,2
1535580142,1,4
1535583798,3,2
1535587399,2,5
1535594599,4,2
1535598199,1,3
1535601738,2,2
1535605401,2,3
1535608998,2,3
1535612598,2,2
1535616138,3,1
1535619858,1,4
1535623338,1,1
1535626938,1,2
1535628378,5,1
1535630599,1,1
1535634198,5,1
1535637738,1,2
1535641403,2,5
1535644939,1,1
1535648598,1,0
1535652140,1,1
1535659399,2,1
1535663061,2,2
1535666602,1,1
1535670142,3,2
1535673802,0,1
1535677340,1,0
1535680999,4,6
1535684600,1,1
1535688199,1,2
1535691739,2,2
1535695399,2,2
1535699000,4,3
1535702599,1,2
1535706139,1,0
1535709800,3,2
1535713400,2,1
1535716939,1,2
1535720599,0,5
1535724200,1,1
1535727800,2,2
1535731399,4,4
1535734940,3,1
1535738539,1,1
1535742200,5,3
1535745799,2,0
1535749401,0,1
1535753001,3,2
1535756601,1,3
1535760141,6,1
1535763804,4,2
1535767400,10,4
1535771000,2,3
1535774602,3,5
1535778200,1,3
1535781740,5,3
1535785400,2,1
1535792600,2,2
1535796200,4,2
1535799801,2,2
1535803340,5,2
1535807001,3,5
1535810542,1,0
1535814202,2,5
1535817801,2,2
1535821340,5,0
1535825000,3,4
1535828601,1,0
1535832140,1,0
1535835800,1,0
1535839341,0,1
1535843001,4,3
1535846601,1,1
1535850200,2,2
1535853801,2,6
1535859321,2,3
1535861002,1,0
1535864601,2,2
1535868202,1,1
1535871741,1,1
1535875402,0,2
1535879002,1,2
1535882602,4,4
1535886201,2,0
1535889802,0,2
1535893342,1,1
1535896942,2,2
1535900604,2,0
1535904143,1,0
1535907804,1,3
1535911342,4,1
1535914942,1,1
1535918602,1,1
1535925742,1,1
1535929404,0,3
1535933004,0,2
1535940142,3,6
1535943802,3,2
1535947405,3,1
1535950944,1,2
1535954602,3,4
1535958142,1,2
1535961742,1,0
1535965342,2,0
1535969004,5,2
1535972542,1,1
1535976203,3,1
1535979743,3,0
1535983403,7,0
1535987005,1,1
1535990544,3,2
1535994143,9,6
1535997803,3,6
1536001402,1,0
1536004942,1,2
1536008607,1,1
1536012202,1,0
1536015803,1,0
1536019403,1,0
1536023003,0,1
1536026548,1,2
1536030204,2,3
1536033743,2,1
1536037403,4,5
1536040463,1,1
1536044605,3,4
1536048146,2,0
1536051804,1,0
1536055343,4,1
1536059003,0,4
1536062604,0,1
1536066203,1,1
1536069744,2,1
1536073404,1,4
1536077003,2,4
1536080543,1,1
1536084203,3,5
1536091343,2,2
1536098545,0,1
1536102204,1,1
1536105803,4,1
1536109403,1,4
1536113004,1,2
1536116604,2,1
1536120207,3,4
1536123804,4,3
1536127404,1,1
1536131004,3,1
1536134547,2,1
1536138147,1,1
1536141806,0,2
