DateTime,Entries,UniqueIPs
1534266169,878,878
1534269773,876,876
1534273373,876,876
1534276969,875,875
1534280629,878,878
1534284170,876,876
1534287831,877,877
1534298570,879,879
1534302171,873,873
1534305770,876,876
1534309430,874,874
1534312972,872,872
1534316573,876,876
1534320231,873,873
1534323771,876,876
1534327371,874,874
1534330970,875,875
1534338170,879,879
1534341774,879,879
1534345370,879,879
1534346420,882,882
1534348940,895,895
1534352540,896,896
1534356200,898,898
1534359802,901,901
1534363400,902,902
1534367003,904,904
1534368019,901,901
1534374201,900,900
1534381399,900,900
1534385001,898,898
1534388601,898,898
1534392201,897,897
1534395740,896,896
1534399340,896,896
1534402940,896,896
1534406542,896,896
1534410201,897,897
1534413740,896,896
1534417341,893,893
1534421000,891,891
1534424544,889,889
1534428202,890,890
1534431800,889,889
1534435342,885,885
1534439000,884,884
1534442542,883,883
1534446140,885,885
1534449803,886,886
1534453341,887,887
1534457001,887,887
1534467802,887,887
1534471342,887,887
1534474940,888,888
1534478541,886,886
1534482141,884,884
1534485741,886,886
1534489341,883,883
1534493001,881,881
1534496601,882,882
1534500141,882,882
1534503865,883,883
1534507401,884,884
1534514602,885,885
1534518202,887,887
1534521801,888,888
1534528946,888,888
1534532605,889,889
1534536207,890,890
1534539745,890,890
1534542681,890,890
1534547001,889,889
1534550602,888,888
1534554141,888,888
1534557742,887,887
1534561402,886,886
1534565002,885,885
1534568602,884,884
1534572142,884,884
1534579402,883,883
1534583002,883,883
1534586602,878,878
1534590203,879,879
1534593802,878,878
1534597346,880,880
1534600943,881,881
1534604542,883,883
1534608142,881,881
1534611802,882,882
1534615402,882,882
1534617742,882,882
1534622602,883,883
1534626145,885,885
1534629806,886,886
1534633343,886,886
1534637002,886,886
1534640602,884,884
1534644143,884,884
1534647808,883,883
1534651402,883,883
1534654943,884,884
1534658602,885,885
1534665803,885,885
1534669403,885,885
1534672943,885,885
1534676603,884,884
1534680203,883,883
1534687343,883,883
1534690944,884,884
1534694606,884,884
1534698204,886,886
1534701743,886,886
1534705343,887,887
1534708944,887,887
1534712603,886,886
1534716148,886,886
1534719805,884,884
1534723345,884,884
1534727003,885,885
1534730545,884,884
1534734149,884,884
1534737745,886,886
1534741405,887,887
1534745004,886,886
1534748548,887,887
1534752147,887,887
1534755804,889,889
1534759406,888,888
1534762163,888,888
1534763003,892,892
1534766543,894,894
1534770203,894,894
1534773802,896,896
1534777402,897,897
1534781003,897,897
1534784592,900,900
1534788192,900,900
1534791796,903,903
1534795415,904,904
1534798992,908,908
1534802532,907,907
1534806132,908,908
1534813332,907,907
1534816933,908,908
1534820592,905,905
1534824196,901,901
1534827792,904,904
1534831392,903,903
1534833612,901,901
1534834992,900,900
1534838592,901,901
1534842192,901,901
1534845792,898,898
1534849396,896,896
1534852932,893,893
1534856593,894,894
1534860193,895,895
1534863793,886,886
1534867393,885,885
1534870997,886,886
1534874538,886,886
1534878196,888,888
1534881737,888,888
1534885393,888,888
1534892593,886,886
1534896193,884,884
1534899797,883,883
1534903393,883,883
1534906937,882,882
1534910596,880,880
1534914196,878,878
1534917735,877,877
1534921333,877,877
1534924936,877,877
1534928597,876,876
1534929793,876,876
1534932193,874,874
1534939393,875,875
1534942995,877,877
1534946534,877,877
1534950194,877,877
1534953734,880,880
1534957394,883,883
1534960994,881,881
1534964534,882,882
1534968194,884,884
1534971794,884,884
1534974192,885,885
1534975332,894,894
1534978991,896,896
1534982591,897,897
1534989791,896,896
1534993391,893,893
1534996991,892,892
1535000711,889,889
1535004191,891,891
1535007795,893,893
1535011331,894,894
1535014995,896,896
1535018591,895,895
1535022192,897,897
1535025732,896,896
1535029394,896,896
1535032933,892,892
1535036592,890,890
1535040192,889,889
1535043792,887,887
1535047392,892,892
1535050992,890,890
1535054595,889,889
1535058134,890,890
1535061792,895,895
1535065392,892,892
1535068993,891,891
1535072596,892,892
1535076195,889,889
1535079792,889,889
1535083395,889,889
1535086938,889,889
1535090595,888,888
1535094195,888,888
1535097797,887,887
1535101397,885,885
1535104332,885,885
1535104994,883,883
